,new_plot_code,rai_2566,tons_per_rai_2566,cane_type_2566,soil_2566,cane_area_2566,rai_2567,tons_per_rai_2567,cane_type_2567,soil_2567,cane_area_2567,rai_2568,tons_per_rai_2568,cane_type_2568,soil_2568,cane_area_2568,water,average_yield,average_area,additional_yield,average_additional_water(mm),yield_probability
0,902115,หนองกระทุ่ม 1,12.694741004349543,อ้อยน้ำราด,เหนียว,25.29,หนองกระทุ่ม 1,9.202056148675366,อ้อยตอ 1,เหนียว,25.29,หนองกระทุ่ม 1,5.7407114624505935,อ้อยตอ 2,เหนียว,25.3,ชลประทาน (> 3 ครั้ง),9.212502871825167,25.293333333333333,2.123400125934138,472.96189276817734,0.40021125122570017
1,902114,หนองกระทุ่ม 1,16.15489361702128,อ้อยน้ำราด,เหนียว,11.75,หนองกระทุ่ม 1,8.69872340425532,อ้อยตอ 1,เหนียว,11.75,หนองกระทุ่ม 1,7.674893617021278,อ้อยตอ 2,เหนียว,11.75,ชลประทาน (> 3 ครั้ง),10.842836879432625,11.75,3.7537341335415952,317.6919872817528,1.0
2,902113,หนองกระทุ่ม 1,15.70897435897436,อ้อยน้ำราด,เหนียว,15.6,หนองกระทุ่ม 1,10.5666666666667,อ้อยตอ 1,เหนียว,15.6,หนองกระทุ่ม 1,6.373209169054441,อ้อยตอ 2,เหนียว,13.96,ชลประทาน (> 3 ครั้ง),10.8829500648985,15.053333333333333,3.7938473190074706,313.8716839040504,1.0
3,902112,หนองกระทุ่ม 1,17.230563002680967,อ้อยน้ำราด,เหนียว,11.19,หนองกระทุ่ม 1,5.941018766756033,อ้อยตอ 1,เหนียว,11.19,หนองกระทุ่ม 1,6.72027972027972,อ้อยตอ 2,เหนียว,8.58,ชลประทาน (> 3 ครั้ง),9.963953829905572,10.32,2.8748510840145425,401.3951348557579,1.0
4,902111,หนองกระทุ่ม 1,11.443653846153843,อ้อยน้ำราด,เหนียว,52.0,หนองกระทุ่ม 1,8.46289445048966,อ้อยตอ 1,เหนียว,45.95,หนองกระทุ่ม 1,7.0979877515310585,อ้อยน้ำราด,เหนียว,45.72,ชลประทาน (> 3 ครั้ง),9.001512016058188,47.89000000000001,1.9124092701671582,493.05625998408016,0.35903293861350316
5,902105,หนองกระทุ่ม 1,14.12614379084967,อ้อยตอ 1,เหนียว,61.2,หนองกระทุ่ม 1,8.47173202614379,อ้อยตอ 2,เหนียว,61.2,หนองกระทุ่ม 1,10.092156862745098,อ้อยน้ำราด,เหนียว,61.2,ชลประทาน (> 3 ครั้ง),10.896677559912852,61.20000000000001,3.807574814021823,312.56430342649304,1.0
6,902106,หนองกระทุ่ม 1,14.180793060718717,อ้อยตอ 2,เหนียว,80.7,หนองกระทุ่ม 1,12.163444857496904,อ้อยน้ำราด,เหนียว,80.7,หนองกระทุ่ม 1,10.181040892193304,อ้อยตอ 1,เหนียว,80.7,ชลประทาน (> 3 ครั้ง),12.175092936802974,80.7,5.085990190911945,190.8104580083862,1.0
7,902104,หนองกระทุ่ม 1,11.602008215426746,อ้อยตอ 2,เหนียว,21.91,หนองกระทุ่ม 1,8.354176175262438,อ้อยต้นฝน,เหนียว,21.91,หนองกระทุ่ม 1,8.123687813783661,อ้อยตอ 1,เหนียว,21.91,ชลประทาน (> 3 ครั้ง),9.359957401490949,21.91,2.270854655599919,458.9186042285791,0.42969457800288546
8,902101,หนองกระทุ่ม 1,13.893129770992369,อ้อยตอ 2,เหนียว,15.72,หนองกระทุ่ม 1,8.38295165394402,อ้อยตอ 3,เหนียว,15.72,หนองกระทุ่ม 1,11.11723700887199,อ้อยน้ำราด,เหนียว,15.78,ชลประทาน (> 3 ครั้ง),11.131106144602791,15.74,4.042003398711762,290.2377715512608,1.0
9,902102,หนองกระทุ่ม 1,11.62604540023895,อ้อยตอ 2,เหนียว,8.37,หนองกระทุ่ม 1,13.154121863799284,อ้อยตอ 3,เหนียว,8.37,หนองกระทุ่ม 1,9.08004778972521,อ้อยน้ำราด,เหนียว,8.37,ชลประทาน (> 3 ครั้ง),11.28673835125448,8.37,4.19763560536345,275.4156566320524,1.0
10,902137,หนองกระทุ่ม 1,14.32023868722029,อ้อยตอ 2,เหนียว,20.11,หนองกระทุ่ม 1,10.339134758826454,อ้อยตอ 3,เหนียว,20.11,หนองกระทุ่ม 1,8.809779951100243,อ้อยตอ 4,เหนียว,20.45,น้ำเสริม (1-3 ครั้ง),11.15638446571566,20.223333333333333,4.067281719824631,287.83031239765415,1.0
11,902138,หนองกระทุ่ม 1,17.04569732937685,อ้อยตอ 2,เหนียว,33.7,หนองกระทุ่ม 1,10.374777448071216,อ้อยตอ 3,เหนียว,33.7,หนองกระทุ่ม 1,8.986646884272995,อ้อยตอ 4,เหนียว,33.7,ชลประทาน (> 3 ครั้ง),12.135707220573686,33.7,5.046604474682656,194.5614786016518,1.0
12,902139,หนองกระทุ่ม 1,14.734400434074876,อ้อยตอ 2,เหนียว,36.86,หนองกระทุ่ม 1,9.494574064026043,อ้อยตอ 3,เหนียว,36.86,หนองกระทุ่ม 1,8.202658708627238,อ้อยตอ 4,เหนียว,36.86,ชลประทาน (> 3 ครั้ง),10.81054440224272,36.86,3.72144165635169,320.76746129983906,1.0
13,902136,หนองกระทุ่ม 1,13.8814825666569,อ้อยน้ำราด,เหนียว,68.26,หนองกระทุ่ม 1,29.466,อ้อยตอ 1,เหนียว,5.0,หนองกระทุ่ม 1,9.715206563140931,อ้อยน้ำราด,เหนียว,68.26,ชลประทาน (> 3 ครั้ง),17.687563043265943,47.17333333333334,10.598460297374913,0.0,1.0
14,902123,หนองกระทุ่ม 1,17.177133655394524,อ้อยน้ำราด,เหนียว,12.42,หนองกระทุ่ม 1,8.15619967793881,อ้อยตอ 1,เหนียว,12.42,หนองกระทุ่ม 1,5.248181083265966,อ้อยน้ำราด,เหนียว,12.37,ชลประทาน (> 3 ครั้ง),10.193838138866434,12.403333333333334,3.104735392975405,379.50139114519953,1.0
15,902124,หนองกระทุ่ม 1,14.136693072644531,อ้อยน้ำราด,เหนียว,59.33,หนองกระทุ่ม 1,7.656666104837349,อ้อยตอ 1,เหนียว,59.33,หนองกระทุ่ม 1,5.215573908646554,อ้อยตอ 2,เหนียว,59.33,ชลประทาน (> 3 ครั้ง),9.002977695376146,59.330000000000005,1.9138749494851162,492.91667147760796,0.35931402804102663
16,902116,หนองกระทุ่ม 1,11.681969949916526,อ้อยตอ 1,เหนียว,11.98,หนองกระทุ่ม 1,9.032554257095155,อ้อยตอ 2,เหนียว,11.98,หนองกระทุ่ม 1,2.4565943238731216,อ้อยตอ 3,เหนียว,11.98,ชลประทาน (> 3 ครั้ง),7.723706176961602,11.979999999999999,0.6346034310705724,614.752054183755,0.154672547940499
