,หมายเลขสถานี,หมายเลขบ่อ,Latitude,Longitude,ที่ตั้ง,หมู่บ้าน,ตำบล,อำเภอ,จังหวัด,แอ่งน้ำบาดาล,ระดับชั้นน้ำบาดาล,ชั้นหินให้น้ำ,รหัสชั้นหิน,วันที่เริ่มเจาะ,วันที่เจาะเสร็จ,ความลึกเจาะ,2025,2026,2027,2028,2029,2030,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,UCPLK011,5407G025,16.8851622,100.3537103,โรงเรียนดอนทองวิทยา,,ดอนทอง,เมือง,พิษณุโลก,เจ้าพระยาตอนบน,ตะกอนทราย,เจ้าพระยาตอนบน ตะกอนชั้นที่ 1 (10-60 เมตร),Qfd,1954-07-15,1954-07-16,30,0.5934065934065934,0.5934065934065934,0.5934065934065934,0.5934065934065934,0.5934065934065934,0.5934065934065934,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.8307692307692308,0.8307692307692308,0.8307692307692308,0.7120879120879121
1,UCPLK011,5407G024,16.8851622,100.3537103,โรงเรียนดอนทองวิทยา,,ดอนทอง,เมือง,พิษณุโลก,เจ้าพระยาตอนบน,ตะกอนทราย,เจ้าพระยาตอนบน ตะกอนชั้นที่ 2 (60-120 เมตร),Qfd,1954-07-05,1954-07-14,102,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,UCPLK011,5407G023,16.8851622,100.3537103,โรงเรียนดอนทองวิทยา,,ดอนทอง,เมือง,พิษณุโลก,เจ้าพระยาตอนบน,ตะกอนทราย,เจ้าพระยาตอนบน ตะกอนชั้นที่ 3 (>120 เมตร),Qfd,1954-06-25,1954-07-01,150,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,STSKA042,5712D027,7.0532959,100.4071525,โรงเรียนบ้านคลองนกกระทุง,,ท่าช้าง,บางกล่ำ,สงขลา,หาดใหญ่,,หาดใหญ่2 ชั้นคูเต่า (50-100  เมตร),Qot,,,54,0.7843137254901958,0.7843137254901958,0.7843137254901958,0.7843137254901958,0.7843137254901958,0.7843137254901958,1.0,1.0,1.0,1.0,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352,0.9411764705882352
4,STSKA042,5712D026,7.0532959,100.4071525,โรงเรียนบ้านคลองนกกระทุง,,ท่าช้าง,บางกล่ำ,สงขลา,หาดใหญ่,,หาดใหญ่3 ชั้นคอหงส์ (100-200 เมตร),Qot,,,103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,LCNBI010,PT22,13.8007713,100.4112581,วัดศรีประวัติ,,ปลายบาง,บางกรวย,นนทบุรี,เจ้าพระยาตอนล่าง,ตะกอนทราย,เจ้าพระยาตอนล่าง6 ชั้นพญาไท (300-350  เมตร),Qfd,1947-10-15,1947-10-25,309,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,LCNBI010,SK21,13.8007713,100.4112581,วัดศรีประวัติ,,ปลายบาง,บางกรวย,นนทบุรี,เจ้าพระยาตอนล่าง,ตะกอนทราย,เจ้าพระยาตอนล่าง5 ชั้นสามโคก (200-300  เมตร),Qfd,1947-10-26,1947-10-02,261,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7,LCNBI010,NB128,13.8007713,100.4112581,วัดศรีประวัติ,,ปลายบาง,บางกรวย,นนทบุรี,เจ้าพระยาตอนล่าง,ตะกอนกรวดทราย,เจ้าพระยาตอนล่าง5 ชั้นสามโคก (200-300  เมตร),Qfd,1947-11-03,1947-11-08,220,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8,LCNBI010,NL129,13.8007713,100.4112581,วัดศรีประวัติ,,ปลายบาง,บางกรวย,นนทบุรี,เจ้าพระยาตอนล่าง,ตะกอนกรวดทราย,เจ้าพระยาตอนล่าง4 ชั้นนนทบุรี (150-200  เมตร),Qfd,1947-11-09,1947-11-13,163,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,LCNBI010,PD129,13.8007713,100.4112581,วัดศรีประวัติ,,ปลายบาง,บางกรวย,นนทบุรี,เจ้าพระยาตอนล่าง,ตะกอนทราย,เจ้าพระยาตอนล่าง3 ชั้นนครหลวง (100-150  เมตร),Qfd,1947-11-14,1947-11-16,121,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,LCBKK039,NB136,13.7193837,100.5829833,ท้องฟ้าจำลอง,,วัฒนา,คลองตัน,กรุงเทพมหานคร,เจ้าพระยาตอนล่าง,ตะกอนกรวดทราย,เจ้าพระยาตอนล่าง4 ชั้นนนทบุรี (150-200  เมตร),Qfd,1947-10-28,1947-11-03,202,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11,LCBKK039,NL137,13.7193837,100.5829833,ท้องฟ้าจำลอง,,วัฒนา,คลองตัน,กรุงเทพมหานคร,เจ้าพระยาตอนล่าง,ตะกอนกรวดทราย,เจ้าพระยาตอนล่าง3 ชั้นนครหลวง (100-150  เมตร),Qfd,1947-11-04,1947-11-09,148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,LCBKK039,PD135,13.7193837,100.5829833,ท้องฟ้าจำลอง,,วัฒนา,คลองตัน,กรุงเทพมหานคร,เจ้าพระยาตอนล่าง,ตะกอนทราย,เจ้าพระยาตอนล่าง2 ชั้นพระประแดง (50-100  เมตร),Qfd,1947-11-10,1947-11-14,104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,LCBKK014,PD84,13.886717,100.7083277,วัดแป้นทองโสภาราม,,สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,เจ้าพระยาตอนล่าง,ตะกอนทราย,เจ้าพระยาตอนล่าง2 ชั้นพระประแดง (50-100  เมตร),Qfd,,1935-08-05,117,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14,LCBKK014,NL54,13.886717,100.7083277,วัดแป้นทองโสภาราม,,สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,เจ้าพระยาตอนล่าง,ตะกอนกรวดทราย,เจ้าพระยาตอนล่าง4 ชั้นนนทบุรี (150-200  เมตร),Qfd,,1932-02-01,161,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15,LCBKK014,NB47,13.886717,100.7083277,วัดแป้นทองโสภาราม,,สามวาตะวันตก,คลองสามวา,กรุงเทพมหานคร,เจ้าพระยาตอนล่าง,ตะกอนกรวดทราย,เจ้าพระยาตอนล่าง5 ชั้นสามโคก (200-300  เมตร),Qfd,1932-01-22,1932-01-25,228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16,LCBKK015,PD34,13.8142503,100.5581,สวนจตุจักร,,ลาดยาว,จตุจักร,กรุงเทพมหานคร,เจ้าพระยาตอนล่าง,ตะกอนทราย,เจ้าพระยาตอนล่าง3 ชั้นนครหลวง (100-150  เมตร),Qfd,,1932-01-09,128,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
